epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,195.441,1.29303,2.36676,1.58021,0.76684,0.40136,0.63973,0.33706,1.35588,3.01092,1.79201,0.000653333,0.000653333,0.000653333
2,327.916,1.43576,2.13854,1.64341,0.35472,0.53659,0.4047,0.17473,1.95284,2.81667,2.33558,0.00129386,0.00129386,0.00129386
3,456.066,1.52118,2.22544,1.75173,0.28579,0.39024,0.29273,0.07875,2.17955,9.71965,3.08598,0.00190799,0.00190799,0.00190799
4,583.059,1.5713,2.21243,1.83769,0.21607,0.29268,0.21582,0.12377,1.91706,4.27913,2.54859,0.0018812,0.0018812,0.0018812
5,710.431,1.62048,2.15582,1.83809,0.30306,0.41463,0.30365,0.14971,1.95046,3.47846,2.59607,0.0018416,0.0018416,0.0018416
6,837.789,1.61309,2.0754,1.87109,0.63689,0.26829,0.2791,0.12842,2.32419,3.94177,2.4766,0.001802,0.001802,0.001802
7,968.849,1.55404,1.86497,1.74715,0.33846,0.42438,0.33444,0.14497,2.01397,2.70101,2.44433,0.0017624,0.0017624,0.0017624
8,1097.11,1.48506,1.78127,1.71648,0.37203,0.56358,0.3067,0.14336,1.92868,2.50709,2.24527,0.0017228,0.0017228,0.0017228
9,1224.85,1.54244,1.76247,1.75483,0.52848,0.5122,0.50763,0.22712,1.93592,1.99796,2.43624,0.0016832,0.0016832,0.0016832
10,1351.65,1.42327,1.68648,1.66398,0.6226,0.41463,0.56243,0.27227,1.83069,2.20543,2.29307,0.0016436,0.0016436,0.0016436
11,1478.75,1.45323,1.63621,1.69834,0.65623,0.63415,0.60943,0.27335,1.97586,1.88469,2.34824,0.001604,0.001604,0.001604
12,1606.71,1.48819,1.68476,1.70583,0.6354,0.51012,0.57595,0.24233,1.76005,1.98631,2.15988,0.0015644,0.0015644,0.0015644
13,1733.12,1.38683,1.53335,1.62764,0.51166,0.63415,0.56212,0.25427,1.77779,1.97322,2.19261,0.0015248,0.0015248,0.0015248
14,1866.06,1.32576,1.50851,1.60791,0.70212,0.63415,0.69882,0.35198,1.68721,1.54891,2.08202,0.0014852,0.0014852,0.0014852
15,1998.22,1.30598,1.38616,1.58714,0.88432,0.65854,0.79195,0.34403,1.88751,1.49416,2.19376,0.0014456,0.0014456,0.0014456
16,2126.14,1.32394,1.43941,1.60648,0.57096,0.65854,0.63209,0.26699,1.84746,1.53729,2.09934,0.001406,0.001406,0.001406
17,2253.7,1.29674,1.37962,1.55749,0.756,0.60468,0.71628,0.27841,1.94867,1.56325,2.1872,0.0013664,0.0013664,0.0013664
18,2380.33,1.25944,1.33361,1.53119,0.67258,0.7561,0.75255,0.39803,1.60442,1.29106,1.9791,0.0013268,0.0013268,0.0013268
19,2506.96,1.24834,1.30599,1.53006,0.64867,0.68293,0.7462,0.39031,1.67758,1.33532,2.09729,0.0012872,0.0012872,0.0012872
20,2633.74,1.27034,1.34733,1.55148,0.79633,0.87805,0.84196,0.43657,1.74305,1.2141,2.01374,0.0012476,0.0012476,0.0012476
21,2760.44,1.2525,1.31823,1.53703,0.74487,0.85366,0.82288,0.44554,1.49172,1.38913,1.83535,0.001208,0.001208,0.001208
22,2888.16,1.18548,1.2447,1.49135,0.79756,0.82927,0.86237,0.43121,1.51999,1.22835,1.79909,0.0011684,0.0011684,0.0011684
23,3018.04,1.13328,1.12481,1.43578,0.83088,0.7561,0.84891,0.47204,1.4857,1.13218,1.82276,0.0011288,0.0011288,0.0011288
24,3145.78,1.13514,1.14645,1.43699,0.83352,0.82927,0.89715,0.44335,1.634,1.11426,1.89794,0.0010892,0.0010892,0.0010892
25,3278.06,1.13661,1.12834,1.43911,0.89999,0.65846,0.79737,0.38666,1.66873,1.3483,2.00504,0.0010496,0.0010496,0.0010496
26,3442.28,1.11086,1.13849,1.44853,0.80467,0.80383,0.78134,0.47334,1.30833,1.11374,1.73057,0.00101,0.00101,0.00101
27,3603.23,1.12488,1.13235,1.43051,0.7858,0.80527,0.88324,0.47776,1.48532,1.13719,1.7905,0.0009704,0.0009704,0.0009704
28,3768.52,1.12106,1.15522,1.43136,0.88286,0.78049,0.90351,0.46972,1.51249,1.15706,1.7892,0.0009308,0.0009308,0.0009308
29,3926.71,1.07349,1.06704,1.39439,0.87494,0.85318,0.9138,0.45937,1.58463,1.09055,1.84856,0.0008912,0.0008912,0.0008912
30,4082.24,1.08698,1.05283,1.43056,0.88332,0.70732,0.88337,0.50348,1.40019,1.05194,1.80194,0.0008516,0.0008516,0.0008516
31,4241.84,1.05404,1.00597,1.37582,0.88675,0.95491,0.92375,0.49059,1.39422,1.02247,1.70147,0.000812,0.000812,0.000812
32,4398.96,1.07637,0.98074,1.38686,0.7854,0.82927,0.80961,0.48393,1.41052,1.02073,1.72814,0.0007724,0.0007724,0.0007724
33,4553.63,1.06967,1.02055,1.40249,0.76051,0.82927,0.83739,0.49166,1.4387,1.02446,1.78369,0.0007328,0.0007328,0.0007328
34,4707.74,1.00093,0.99612,1.34155,0.79481,0.82927,0.84922,0.49135,1.37202,0.97441,1.67177,0.0006932,0.0006932,0.0006932
35,4862.55,0.98273,0.95266,1.32077,0.7859,0.90244,0.89918,0.52122,1.40574,0.88682,1.72104,0.0006536,0.0006536,0.0006536
36,5018.46,0.98475,0.92989,1.33469,0.86125,0.82927,0.87591,0.48751,1.39094,0.97819,1.67723,0.000614,0.000614,0.000614
37,5180.99,0.9359,0.89453,1.31241,0.8465,0.80704,0.90523,0.52334,1.28837,0.94919,1.59093,0.0005744,0.0005744,0.0005744
38,5341.19,0.94691,0.90985,1.30971,0.85056,0.85366,0.89175,0.52427,1.31491,0.90192,1.61969,0.0005348,0.0005348,0.0005348
39,5501.9,0.87532,0.84007,1.25176,0.92043,0.84657,0.94817,0.56593,1.31046,0.8884,1.63548,0.0004952,0.0004952,0.0004952
40,5662.49,0.89537,0.83662,1.27084,0.85465,0.87805,0.94979,0.54177,1.31306,0.84272,1.61436,0.0004556,0.0004556,0.0004556
41,5821.52,0.82909,0.71747,1.26513,0.86934,0.85366,0.89433,0.4722,1.53165,1.02663,1.87445,0.000416,0.000416,0.000416
42,5980.3,0.79462,0.68165,1.22236,0.9472,0.87519,0.91353,0.51952,1.28714,0.97254,1.68611,0.0003764,0.0003764,0.0003764
43,6134.24,0.75436,0.63034,1.19275,0.90438,0.85366,0.95427,0.55668,1.23812,0.9105,1.5667,0.0003368,0.0003368,0.0003368
44,6288.66,0.7119,0.58974,1.17243,0.92184,0.92683,0.96699,0.57027,1.21334,0.89956,1.60643,0.0002972,0.0002972,0.0002972
45,6444.17,0.72204,0.57693,1.16542,0.861,0.90653,0.94122,0.5708,1.22836,0.88149,1.62639,0.0002576,0.0002576,0.0002576
46,6600.69,0.68982,0.54483,1.13515,0.81875,0.95122,0.95677,0.60941,1.16972,0.84075,1.56916,0.000218,0.000218,0.000218
47,6753,0.67321,0.53464,1.14109,0.8974,0.87805,0.93158,0.57298,1.1604,0.8246,1.57371,0.0001784,0.0001784,0.0001784
48,6876.86,0.66371,0.53045,1.15117,0.87237,0.85366,0.89418,0.55305,1.17632,0.85655,1.5835,0.0001388,0.0001388,0.0001388
49,6999.16,0.65287,0.50826,1.10755,0.93547,0.87805,0.94351,0.56207,1.1779,0.84443,1.59091,9.92e-05,9.92e-05,9.92e-05
50,7121.89,0.65108,0.51203,1.1076,0.89561,0.90244,0.94441,0.57478,1.16281,0.84269,1.56149,5.96e-05,5.96e-05,5.96e-05
